[Fe/H]|RAJ2000|DEJ2000|Dist|deg
169.72579960000|+66.93508092000|-1.769|169.725799600|+66.935080920| 3.7050
055.94525273000|-06.04418684300|-1.331|055.945252730|-06.044186843| 1.9129
255.32918460000|+35.44304981000|-2.269|255.329184600|+35.443049810| 3.0000
146.37090120000|+61.57644151000|-0.915|146.370901200|+61.576441510| 1.4938
062.39618536000|-05.75903664800|-1.220|062.396185360|-05.759036648| 2.6402
140.56941360000|+57.80366256000|-1.283|140.569413600|+57.803662560| 3.0932
131.85036470000|+53.91634641000|-1.453|131.850364700|+53.916346410| 2.3346
163.96133170000|+64.80303761000|-1.316|163.961331700|+64.803037610| 3.8618
165.72267490000|+65.16215957000|-1.271|165.722674900|+65.162159570| 2.7157
132.05742280000|+54.88434448000|-1.126|132.057422800|+54.884344480| 2.4715
134.31184060000|+56.29129200000|-1.395|134.311840600|+56.291292000| 2.7222
112.79268870000|+37.38695338000|-1.099|112.792688700|+37.386953380| 1.7722
318.74307940000|+10.54531825000|-1.340|318.743079400|+10.545318250| 0.8539
244.58519620000|+52.09415482000|-0.714|244.585196200|+52.094154820| 3.4451
147.16286610000|+62.02810479000|-1.256|147.162866100|+62.028104790| 1.0996
147.27232620000|+62.09769682000|-1.417|147.272326200|+62.097696820| 3.0616
147.66725440000|+61.98905331000|-1.650|147.667254400|+61.989053310| 2.7106
147.65165950000|+62.22301308000|-1.446|147.651659500|+62.223013080| 1.1609
147.74631690000|+62.23813325000|-1.168|147.746316900|+62.238133250| 3.4027
204.97817450000|+66.85647180000|-0.698|204.978174500|+66.856471800| 2.5323
322.02818980000|-06.60249085300|-1.810|322.028189800|-06.602490853| 2.1558
121.70546700000|+45.97203823000|-0.983|121.705467000|+45.972038230| 2.3494
168.88454750000|+66.01726249000|-2.265|168.884547500|+66.017262490| 2.2758
141.77256550000|+59.60983949000|-1.572|141.772565500|+59.609839490| 3.3590
144.10115370000|+60.58678408000|-0.737|144.101153700|+60.586784080| 2.3595
183.29890970000|+03.33419161100|-1.253|183.298909700|+03.334191611| 2.6256
173.31835030000|+64.79458646000|-1.409|173.318350300|+64.794586460| 2.2426
188.69870690000|+65.76692970000|-1.875|188.698706900|+65.766929700| 3.9241
202.00962860000|+65.46048803000|-0.592|202.009628600|+65.460488030| 2.5055
203.90803410000|+65.24361174000|-0.547|203.908034100|+65.243611740| 2.6254
056.52805858000|-06.01192156700|-0.497|056.528058580|-06.011921567| 3.3239
054.15213491000|-05.76538932700|-1.697|054.152134910|-05.765389327| 0.9119
171.79277010000|+66.72188018000|-1.472|171.792770100|+66.721880180| 3.1715
